道路编号,设备编号,设备名称,部门编码,部门名称,坐标,启用时间,x坐标,y坐标
6.00372E+11,4.20502E+19,坝区-大象溪检查站出口西向东,4.20502E+11,宜昌支队三峡坝区大队,"111.06288,30.84462",2018/11/24,111.06288,30.84462
7.02051E+11,4.20502E+19,坝区-八河口检查站入口北向南,4.20502E+11,宜昌支队三峡坝区大队,"111.06966,30.844",2018/11/1,111.06966,30.844
7.02051E+11,4.20502E+19,坝区-八河口检查站出口南向北,4.20502E+11,宜昌支队三峡坝区大队,"111.06966,30.844",2018/11/24,111.06966,30.844
9.00021E+11,4.20502E+19,坝区-副坝检查站入口南向北,4.20502E+11,宜昌支队三峡坝区大队,"111.04521,30.83411",2018/11/24,111.04521,30.83411
9.00021E+11,4.20502E+19,坝区-副坝检查站出口北向南,4.20502E+11,宜昌支队三峡坝区大队,"111.04521,30.83411",2018/11/24,111.04521,30.83411
7.02041E+11,4.20502E+19,坝区-高家溪检查站入口南向北(装修施工),4.20502E+11,宜昌支队三峡坝区大队,"111.02376,30.80596",2018/11/24,111.02376,30.80596
7.02041E+11,4.20502E+19,坝区-高家溪检查站出口北向南(装修施工),4.20502E+11,宜昌支队三峡坝区大队,"111.02376,30.80596",2018/11/24,111.02376,30.80596
5.00019E+11,4.20502E+19,坝区-下岸溪检查站(宜坝出口)由东向西,4.20502E+11,宜昌支队三峡坝区大队,"111.11486,30.85302",2019/9/1,111.11486,30.85302
5.00019E+11,4.20502E+19,坝区-下岸溪检查站(宜坝入口)由东向西,4.20502E+11,宜昌支队三峡坝区大队,"111.11453,30.85308",2019/9/3,111.11453,30.85308
5.00019E+11,4.20502E+19,坝区-下岸溪检查站(坝宜入口)由西向东,4.20502E+11,宜昌支队三峡坝区大队,"111.11507,30.8532",2019/9/3,111.11507,30.8532
6.00012E+11,4.20503E+19,伍家-沿江大道王家河路口西向东,4.20503E+11,宜昌支队伍家大队,"111.33931,30.65175",2018/12/1,111.33931,30.65175
6.00341E+11,4.20503E+19,西陵-东山四路锦江大道口南向北,f40e813ad9364cf891bb595f7fbe6c7d,测试,"111.33249,30.73895",2020/5/25,111.33249,30.73895
6.00032E+11,4.20503E+19,伍家-东山大道港窑路南向北卡口,f40e813ad9364cf891bb595f7fbe6c7d,测试,"111.31469,30.68103",2020/5/25,111.31469,30.68103
6.00032E+11,4.20503E+19,伍家-东山大道港窑路西向东卡口,f40e813ad9364cf891bb595f7fbe6c7d,测试,"111.3146,30.6809",2020/5/25,111.3146,30.6809
6.00032E+11,4.20503E+19,伍家-东山大道王家河站西向东卡口,4.20503E+11,宜昌支队伍家大队,"111.31993,30.67539",2019/1/1,111.31993,30.67539
6.00032E+11,4.20503E+19,伍家-东山大道十五中站东向西卡口,4.20503E+11,宜昌支队伍家大队,"111.31993,30.67539",2019/1/1,111.31993,30.67539
6.00022E+11,4.20503E+19,伍家-夷陵大道白沙路口西向东卡口,4.20503E+11,宜昌支队伍家大队,"111.35616,30.64405",2018/12/1,111.35616,30.64405
6.00022E+11,4.20503E+19,伍家-夷陵大道白沙路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.35642,30.64427",2018/12/1,111.35642,30.64427
6.00012E+11,4.20503E+19,伍家-沿江大道王家河路段东向西卡口,4.20503E+11,宜昌支队伍家大队,"111.33965,30.65158",2018/12/1,111.33965,30.65158
6.00152E+11,4.20503E+19,伍家-东艳路宜化新天地卡口南向北,4.20503E+11,宜昌支队伍家大队,"111.35019,30.65772",2014/3/21,111.35019,30.65772
6.00012E+11,4.20503E+19,伍家-沿江大道王家河卡口(测速)西向东,4.20503E+11,宜昌支队伍家大队,"111.33812,30.65305",2014/3/13,111.33812,30.65305
